User,Title,Rating
79villemo,Cząstki kobiety,7.0
79villemo,Palmy w śniegu,7.0
79villemo,Małe kobietki,8.0
79villemo,Kwiat pustyni,7.0
79villemo,To,6.0
79villemo,Pokot,7.0
79villemo,"Tamte dni, tamte noce",8.0
79villemo,Boże Ciało,7.0
79villemo,Lighthouse,10.0
79villemo,mother!,8.0
79villemo,"Do wszystkich chłopców, których kochałam",7.0
79villemo,Kształt wody,5.0
79villemo,Gra Geralda,5.0
79villemo,Mulholland Drive,6.0
79villemo,Idol,6.0
79villemo,Lobster,6.0
79villemo,Historia małżeńska,7.0
79villemo,Irlandczyk,8.0
79villemo,Rocketman,6.0
79villemo,Przemytnik,7.0
79villemo,Wielki Mike. The Blind Side,6.0
79villemo,Skazaniec,7.0
79villemo,Dla niej wszystko,6.0
79villemo,Dwóch papieży,7.0
79villemo,W samym sercu morza,7.0
79villemo,Moje córki krowy,6.0
79villemo,Myszy i ludzie,7.0
79villemo,Maudie,7.0
79villemo,"Krzysiu, gdzie jesteś?",6.0
79villemo,Żegnaj Christopher Robin,6.0
79villemo,Kafarnaum,9.0
79villemo,Połączenie,7.0
79villemo,Joker,8.0
79villemo,Parasite,7.0
79villemo,Faworyta,9.0
79villemo,Roma,6.0
79villemo,"Kochając Pabla, nienawidząc Escobara",5.0
79villemo,Mamma Mia! Here We Go Again,7.0
79villemo,Searching,6.0
79villemo,Niepamięć,7.0
79villemo,Gra o wszystko,6.0
79villemo,Kler,5.0
79villemo,Mocna kawa wcale nie jest taka zła,6.0
79villemo,Green Book,8.0
79villemo,Fuga,5.0
79villemo,Skazany,7.0
79villemo,Czarne lustro: Bandersnatch,7.0
79villemo,Tully,7.0
79villemo,Ballada o Busterze Scruggsie,7.0
79villemo,Zakochana Jane,6.0
79villemo,S@motność w sieci,6.0
79villemo,Ponad wszystko,7.0
79villemo,Whitney,7.0
79villemo,Pierwszy człowiek,8.0
79villemo,Chłopiec z latawcem,7.0
79villemo,Początek,7.0
79villemo,Zimna wojna,7.0
79villemo,Cicha noc,6.0
79villemo,"Jestem najlepsza. Ja, Tonya",7.0
79villemo,Instynkt,6.0
79villemo,Narodziny gwiazdy,7.0
79villemo,Bridget Jones 3,6.0
79villemo,Bez miłości ani słowa ,6.0
79villemo,Był sobie pies,7.0
79villemo,Planeta Singli 2,8.0
79villemo,Mary i Max,7.0
79villemo,Dom z piasku i mgły,7.0
79villemo,Sama przeciw wszystkim,8.0
79villemo,Wieczór gier,6.0
79villemo,"Trzy billboardy za Ebbing, Missouri",9.0
79villemo,Niewygodna prawda,7.0
79villemo,Wróg numer jeden,6.0
79villemo,Koniec niewinności,6.0
79villemo,Strażnicy Galaktyki vol. 2,7.0
79villemo,Na śmierć i życie,6.0
79villemo,Sztuka dorastania,6.0
79villemo,Cudowny chłopak,8.0
79villemo,Kac Vegas w Bangkoku,6.0
79villemo,Snajper,7.0
79villemo,Powrót do przyszłości,7.0
79villemo,American Pie,5.0
79villemo,Kevin sam w domu,6.0
79villemo,Epoka lodowcowa,7.0
79villemo,Hobbit: Niezwykła podróż,7.0
79villemo,Bruce Wszechmogący,6.0
79villemo,Fortepian,7.0
79villemo,Contratiempo. Niewidzialny gość,7.0
79villemo,Kroniki portowe,7.0
79villemo,Najlepszy,9.0
79villemo,Mechanik,6.0
79villemo,Światło między oceanami,7.0
79villemo,Płoty,7.0
79villemo,Notatki o skandalu,7.0
79villemo,Dunkierka,8.0
79villemo,"Kocha, lubi, szanuje",7.0
79villemo,Ukojenie,7.0
79villemo,Nowy początek,8.0
79villemo,Wstrząs,7.0
79villemo,Śmiertelna wyliczanka,6.0
79villemo,Nerve,6.0
79villemo,American Gangster,7.0
79villemo,Trener,7.0
79villemo,Instrukcji nie załączono,7.0
79villemo,Zwierzęta nocy,8.0
79villemo,Ile waży koń trojański?,6.0
79villemo,Walentynki,6.0
79villemo,Cloverfield Lane 10,6.0
79villemo,"Za jakie grzechy, dobry Boże?",7.0
79villemo,Dziewczyna z portretu,7.0
79villemo,Odmieniec,7.0
79villemo,Podróż na sto stóp,8.0
79villemo,Hotel Marigold,7.0
79villemo,Ona,8.0
79villemo,Once,6.0
79villemo,McImperium,7.0
79villemo,Wszystko w porządku,6.0
79villemo,Wygrane marzenia,6.0
79villemo,Weronika postanawia umrzeć,6.0
79villemo,Żona astronauty,6.0
79villemo,Trup,7.0
79villemo,Mr. Church,7.0
79villemo,Twój Vincent,8.0
79villemo,Manchester by the Sea,7.0
79villemo,Charlie St. Cloud,6.0
79villemo,Sully,8.0
79villemo,Birdman,8.0
79villemo,Zanim odejdę,7.0
79villemo,Captain Fantastic,8.0
79villemo,Pitbull. Niebezpieczne kobiety,7.0
79villemo,La La Land,7.0
79villemo,Obdarowani,7.0
79villemo,Intruz,6.0
79villemo,Masz talent!,6.0
79villemo,Lion. Droga do domu,7.0
79villemo,Chata,9.0
79villemo,Wyścig marzeń,6.0
79villemo,Azyl,7.0
79villemo,Joy,6.0
79villemo,Ukryte działania,7.0
79villemo,Piękna i Bestia,7.0
79villemo,Boska Florence,7.0
79villemo,Jutro będziemy szczęśliwi,9.0
79villemo,X+Y,7.0
79villemo,Dobrze się kłamie w miłym towarzystwie,7.0
79villemo,Everest,7.0
79villemo,Benny i Joon,7.0
79villemo,Dziewczyna z pociągu,6.0
79villemo,Nie opuszczaj mnie,6.0
79villemo,Więzień nienawiści,7.0
79villemo,Godziny strachu,6.0
79villemo,Co kryje prawda,6.0
79villemo,Przełęcz ocalonych,9.0
79villemo,Przebudzenie,6.0
79villemo,Życie jak dom,6.0
79villemo,Księgowy,7.0
79villemo,Azyl,6.0
79villemo,Miss Potter,6.0
79villemo,Ukryte piękno,6.0
79villemo,Grand Budapest Hotel,8.0
79villemo,Ze wszystkich sił,7.0
79villemo,Pół na pół,7.0
79villemo,Wściekłe psy,6.0
79villemo,Split,7.0
79villemo,Igrzyska śmierci: Kosogłos. Część 2,8.0
79villemo,Igrzyska śmierci: Kosogłos. Część 1,7.0
79villemo,Do szpiku kości,7.0
79villemo,Igrzyska śmierci: W pierścieniu ognia,7.0
79villemo,Igrzyska śmierci,7.0
79villemo,Carol,6.0
79villemo,Powiedzmy sobie wszystko,7.0
79villemo,Kupiliśmy zoo,8.0
79villemo,Powrót,6.0
79villemo,Biały oleander,7.0
79villemo,To tylko seks,7.0
79villemo,Drugie oblicze,7.0
79villemo,Cena prawdy,9.0
79villemo,Tożsamość,6.0
79villemo,Podwójne zagrożenie,6.0
79villemo,Okup,7.0
79villemo,Sztuka kochania. Historia Michaliny Wisłockiej,8.0
79villemo,"Długi, wrześniowy weekend",8.0
79villemo,Niewierna,6.0
79villemo,Siła spokoju,5.0
79villemo,Już za tobą tęsknię,7.0
