Title,Year,Genre,Actor,Avg_rating,Number_of_ratings
Cząstki kobiety,2020,Dramat,Vanessa Kirby,7.1,26670
Cząstki kobiety,2020,Dramat,Shia LaBeouf,7.1,26670
Palmy w śniegu,2015,Dramat,Mario Casas,7.6,17870
Palmy w śniegu,2015,Dramat,Adriana Ugarte,7.6,17870
Małe kobietki,2019,Melodramat,Saoirse Ronan,7.4,69798
Małe kobietki,2019,Melodramat,Emma Watson,7.4,69798
Kwiat pustyni,2009,Biograficzny,Liya Kebede,7.7,131789
Kwiat pustyni,2009,Biograficzny,Sally Hawkins,7.7,131789
Kwiat pustyni,2009,Dramat,Liya Kebede,7.7,131789
Kwiat pustyni,2009,Dramat,Sally Hawkins,7.7,131789
To,2017,Horror,Jaeden Martell,6.7,157631
To,2017,Horror,Jeremy Ray Taylor,6.7,157631
Pokot,2017,Dramat,Agnieszka Mandat,6.3,68300
Pokot,2017,Dramat,Wiktor Zborowski,6.3,68300
Pokot,2017,Kryminał,Agnieszka Mandat,6.3,68300
Pokot,2017,Kryminał,Wiktor Zborowski,6.3,68300
"Tamte dni, tamte noce",2017,Melodramat,Armie Hammer,7.7,118602
"Tamte dni, tamte noce",2017,Melodramat,Timothée Chalamet,7.7,118602
Boże Ciało,2019,Obyczajowy,Bartosz Bielenia,7.7,190230
Boże Ciało,2019,Obyczajowy,Aleksandra Konieczna,7.7,190230
Lighthouse,2019,Dramat,Willem Dafoe,7.5,59543
Lighthouse,2019,Dramat,Robert Pattinson,7.5,59543
Lighthouse,2019,Horror,Willem Dafoe,7.5,59543
Lighthouse,2019,Horror,Robert Pattinson,7.5,59543
mother!,2017,Horror,Jennifer Lawrence,6.2,69481
mother!,2017,Horror,Javier Bardem,6.2,69481
mother!,2017,Psychologiczny,Jennifer Lawrence,6.2,69481
mother!,2017,Psychologiczny,Javier Bardem,6.2,69481
"Do wszystkich chłopców, których kochałam",2018,Romans,Lana Condor,6.8,66647
"Do wszystkich chłopców, których kochałam",2018,Romans,Noah Centineo,6.8,66647
"Do wszystkich chłopców, których kochałam",2018,Dla młodzieży,Lana Condor,6.8,66647
"Do wszystkich chłopców, których kochałam",2018,Dla młodzieży,Noah Centineo,6.8,66647
Kształt wody,2017,Fantasy,Sally Hawkins,6.4,125725
Kształt wody,2017,Fantasy,Michael Shannon,6.4,125725
Gra Geralda,2017,Thriller,Carla Gugino,6.0,36060
Gra Geralda,2017,Thriller,Bruce Greenwood,6.0,36060
Mulholland Drive,2001,Dramat,Naomi Watts,7.6,93113
Mulholland Drive,2001,Dramat,Laura Harring,7.6,93113
Mulholland Drive,2001,Thriller,Naomi Watts,7.6,93113
Mulholland Drive,2001,Thriller,Laura Harring,7.6,93113
Idol,2015,Dramat,Al Pacino,7.0,29034
Idol,2015,Dramat,Annette Bening,7.0,29034
Idol,2015,Komedia,Al Pacino,7.0,29034
Idol,2015,Komedia,Annette Bening,7.0,29034
Lobster,2015,Dramat,Colin Farrell,6.8,95380
Lobster,2015,Dramat,Rachel Weisz,6.8,95380
Lobster,2015,Sci-Fi,Colin Farrell,6.8,95380
Lobster,2015,Sci-Fi,Rachel Weisz,6.8,95380
Historia małżeńska,2019,Dramat,Scarlett Johansson,7.4,113608
Historia małżeńska,2019,Dramat,Adam Driver,7.4,113608
Historia małżeńska,2019,Komedia,Scarlett Johansson,7.4,113608
Historia małżeńska,2019,Komedia,Adam Driver,7.4,113608
Irlandczyk,2019,Biograficzny,Robert De Niro,7.1,95052
Irlandczyk,2019,Biograficzny,Al Pacino,7.1,95052
Irlandczyk,2019,Gangsterski,Robert De Niro,7.1,95052
Irlandczyk,2019,Gangsterski,Al Pacino,7.1,95052
Rocketman,2019,Biograficzny,Taron Egerton,7.2,61075
Rocketman,2019,Biograficzny,Jamie Bell,7.2,61075
Rocketman,2019,Dramat,Taron Egerton,7.2,61075
Rocketman,2019,Dramat,Jamie Bell,7.2,61075
Przemytnik,2018,Dramat,Clint Eastwood,7.0,71792
Przemytnik,2018,Dramat,Bradley Cooper,7.0,71792
Przemytnik,2018,Kryminał,Clint Eastwood,7.0,71792
Przemytnik,2018,Kryminał,Bradley Cooper,7.0,71792
Wielki Mike. The Blind Side,2009,Biograficzny,Sandra Bullock,7.7,153208
Wielki Mike. The Blind Side,2009,Biograficzny,Tim McGraw,7.7,153208
Wielki Mike. The Blind Side,2009,Dramat,Sandra Bullock,7.7,153208
Wielki Mike. The Blind Side,2009,Dramat,Tim McGraw,7.7,153208
Wielki Mike. The Blind Side,2009,Sportowy,Sandra Bullock,7.7,153208
Wielki Mike. The Blind Side,2009,Sportowy,Tim McGraw,7.7,153208
Skazaniec,2008,Dramat,Val Kilmer,7.6,79789
Skazaniec,2008,Dramat,Stephen Dorff,7.6,79789
Skazaniec,2008,Kryminał,Val Kilmer,7.6,79789
Skazaniec,2008,Kryminał,Stephen Dorff,7.6,79789
Dla niej wszystko,2010,Dramat,Russell Crowe,7.4,98486
Dla niej wszystko,2010,Dramat,Elizabeth Banks,7.4,98486
Dla niej wszystko,2010,Kryminał,Russell Crowe,7.4,98486
Dla niej wszystko,2010,Kryminał,Elizabeth Banks,7.4,98486
Dwóch papieży,2019,Dramat,Anthony Hopkins,7.3,107374
Dwóch papieży,2019,Dramat,Jonathan Pryce,7.3,107374
Dwóch papieży,2019,Religijny,Anthony Hopkins,7.3,107374
Dwóch papieży,2019,Religijny,Jonathan Pryce,7.3,107374
W samym sercu morza,2015,Dramat,Chris Hemsworth,6.8,41425
W samym sercu morza,2015,Dramat,Benjamin Walker,6.8,41425
W samym sercu morza,2015,Przygodowy,Chris Hemsworth,6.8,41425
W samym sercu morza,2015,Przygodowy,Benjamin Walker,6.8,41425
Moje córki krowy,2015,Dramat,Agata Kulesza,6.8,69787
Moje córki krowy,2015,Dramat,Gabriela Muskała,6.8,69787
Moje córki krowy,2015,Komedia,Agata Kulesza,6.8,69787
Moje córki krowy,2015,Komedia,Gabriela Muskała,6.8,69787
Myszy i ludzie,1992,Dramat obyczajowy,John Malkovich,7.9,19778
Myszy i ludzie,1992,Dramat obyczajowy,Gary Sinise,7.9,19778
Maudie,2016,Biograficzny,Sally Hawkins,7.8,12348
Maudie,2016,Biograficzny,Ethan Hawke,7.8,12348
Maudie,2016,Dramat,Sally Hawkins,7.8,12348
Maudie,2016,Dramat,Ethan Hawke,7.8,12348
Maudie,2016,Romans,Sally Hawkins,7.8,12348
Maudie,2016,Romans,Ethan Hawke,7.8,12348
"Krzysiu, gdzie jesteś?",2018,Familijny,Ewan McGregor,7.5,39722
"Krzysiu, gdzie jesteś?",2018,Familijny,Hayley Atwell,7.5,39722
Żegnaj Christopher Robin,2017,Biograficzny,Margot Robbie,7.4,10650
Żegnaj Christopher Robin,2017,Biograficzny,Domhnall Gleeson,7.4,10650
Żegnaj Christopher Robin,2017,Familijny,Margot Robbie,7.4,10650
Żegnaj Christopher Robin,2017,Familijny,Domhnall Gleeson,7.4,10650
Kafarnaum,2018,Dramat,Zain Al Rafeea,8.2,30022
Kafarnaum,2018,Dramat,Yordanos Shiferaw,8.2,30022
Połączenie,2013,Thriller,Halle Berry,7.3,87971
Połączenie,2013,Thriller,Abigail Breslin,7.3,87971
Joker,2019,Dramat,Joaquin Phoenix,8.3,299469
Joker,2019,Dramat,Robert De Niro,8.3,299469
Joker,2019,Kryminał,Joaquin Phoenix,8.3,299469
Joker,2019,Kryminał,Robert De Niro,8.3,299469
Joker,2019,Psychologiczny,Joaquin Phoenix,8.3,299469
Joker,2019,Psychologiczny,Robert De Niro,8.3,299469
Parasite,2019,Dramat,Kang-ho Song,8.1,164632
Parasite,2019,Dramat,Seon-gyun Lee,8.1,164632
Faworyta,2018,Biograficzny,Olivia Colman,7.5,76083
Faworyta,2018,Biograficzny,Emma Stone,7.5,76083
Faworyta,2018,Historyczny,Olivia Colman,7.5,76083
Faworyta,2018,Historyczny,Emma Stone,7.5,76083
Roma,2018,Dramat,Yalitza Aparicio,7.0,48011
Roma,2018,Dramat,Marina de Tavira,7.0,48011
"Kochając Pabla, nienawidząc Escobara",2017,Biograficzny,Javier Bardem,6.6,27805
