User,Title,Year,Rating
79villemo,Cząstki kobiety,2020,7.0
79villemo,Palmy w śniegu,2015,7.0
79villemo,Małe kobietki,2019,8.0
79villemo,Kwiat pustyni,2009,7.0
79villemo,To,2017,6.0
79villemo,Pokot,2017,7.0
79villemo,"Tamte dni, tamte noce",2017,8.0
79villemo,Boże Ciało,2019,7.0
79villemo,Lighthouse,2019,10.0
79villemo,mother!,2017,8.0
79villemo,"Do wszystkich chłopców, których kochałam",2018,7.0
79villemo,Kształt wody,2017,5.0
79villemo,Gra Geralda,2017,5.0
79villemo,Mulholland Drive,2001,6.0
79villemo,Idol,2015,6.0
79villemo,Lobster,2015,6.0
79villemo,Historia małżeńska,2019,7.0
79villemo,Irlandczyk,2019,8.0
79villemo,Rocketman,2019,6.0
79villemo,Przemytnik,2018,7.0
79villemo,Wielki Mike. The Blind Side,2009,6.0
79villemo,Skazaniec,2008,7.0
79villemo,Dla niej wszystko,2010,6.0
79villemo,Dwóch papieży,2019,7.0
79villemo,W samym sercu morza,2015,7.0
79villemo,Moje córki krowy,2015,6.0
79villemo,Myszy i ludzie,1992,7.0
79villemo,Maudie,2016,7.0
79villemo,"Krzysiu, gdzie jesteś?",2018,6.0
79villemo,Żegnaj Christopher Robin,2017,6.0
79villemo,Kafarnaum,2018,9.0
79villemo,Połączenie,2013,7.0
79villemo,Joker,2019,8.0
79villemo,Parasite,2019,7.0
79villemo,Faworyta,2018,9.0
79villemo,Roma,2018,6.0
79villemo,"Kochając Pabla, nienawidząc Escobara",2017,5.0
79villemo,Mamma Mia! Here We Go Again,2018,7.0
79villemo,Searching,2018,6.0
79villemo,Niepamięć,2015,7.0
79villemo,Gra o wszystko,2017,6.0
79villemo,Kler,2018,5.0
79villemo,Mocna kawa wcale nie jest taka zła,2014,6.0
79villemo,Green Book,2018,8.0
79villemo,Fuga,2018,5.0
79villemo,Skazany,2017,7.0
79villemo,Czarne lustro: Bandersnatch,2018,7.0
79villemo,Tully,2018,7.0
79villemo,Ballada o Busterze Scruggsie,2018,7.0
79villemo,Zakochana Jane,2007,6.0
79villemo,S@motność w sieci,2006,6.0
79villemo,Ponad wszystko,2017,7.0
79villemo,Whitney,2018,7.0
79villemo,Pierwszy człowiek,2018,8.0
79villemo,Chłopiec z latawcem,2007,7.0
79villemo,Początek,2014,7.0
79villemo,Zimna wojna,2018,7.0
79villemo,Cicha noc,2017,6.0
79villemo,"Jestem najlepsza. Ja, Tonya",2017,7.0
79villemo,Instynkt,1999,6.0
79villemo,Narodziny gwiazdy,2018,7.0
79villemo,Bridget Jones 3,2016,6.0
79villemo,Bez miłości ani słowa ,2012,6.0
79villemo,Był sobie pies,2017,7.0
79villemo,Planeta Singli 2,2018,8.0
79villemo,Mary i Max,2009,7.0
79villemo,Dom z piasku i mgły,2003,7.0
79villemo,Sama przeciw wszystkim,2016,8.0
79villemo,Wieczór gier,2018,6.0
79villemo,"Trzy billboardy za Ebbing, Missouri",2017,9.0
79villemo,Niewygodna prawda,2010,7.0
79villemo,Wróg numer jeden,2012,6.0
79villemo,Koniec niewinności,1995,6.0
79villemo,Strażnicy Galaktyki vol. 2,2017,7.0
79villemo,Na śmierć i życie,2013,6.0
79villemo,Sztuka dorastania,2011,6.0
79villemo,Cudowny chłopak,2017,8.0
79villemo,Kac Vegas w Bangkoku,2011,6.0
79villemo,Snajper,2014,7.0
79villemo,Powrót do przyszłości,1985,7.0
79villemo,American Pie,1999,5.0
79villemo,Kevin sam w domu,1990,6.0
79villemo,Epoka lodowcowa,2002,7.0
79villemo,Hobbit: Niezwykła podróż,2012,7.0
79villemo,Bruce Wszechmogący,2003,6.0
79villemo,Fortepian,1993,7.0
79villemo,Contratiempo. Niewidzialny gość,2016,7.0
79villemo,Kroniki portowe,2001,7.0
79villemo,Najlepszy,2017,9.0
79villemo,Mechanik,2004,6.0
79villemo,Światło między oceanami,2016,7.0
79villemo,Płoty,2016,7.0
79villemo,Notatki o skandalu,2006,7.0
79villemo,Dunkierka,2017,8.0
79villemo,"Kocha, lubi, szanuje",2011,7.0
79villemo,Ukojenie,2015,7.0
79villemo,Nowy początek,2016,8.0
79villemo,Wstrząs,2015,7.0
79villemo,Śmiertelna wyliczanka,2002,6.0
79villemo,Nerve,2016,6.0
79villemo,American Gangster,2007,7.0
79villemo,Trener,2005,7.0
79villemo,Instrukcji nie załączono,2013,7.0
79villemo,Zwierzęta nocy,2016,8.0
79villemo,Ile waży koń trojański?,2008,6.0
79villemo,Walentynki,2010,6.0
79villemo,Cloverfield Lane 10,2016,6.0
79villemo,"Za jakie grzechy, dobry Boże?",2014,7.0
79villemo,Dziewczyna z portretu,2015,7.0
79villemo,Odmieniec,2012,7.0
79villemo,Podróż na sto stóp,2014,8.0
79villemo,Hotel Marigold,2011,7.0
79villemo,Ona,2013,8.0
79villemo,Once,2007,6.0
79villemo,McImperium,2016,7.0
79villemo,Wszystko w porządku,2010,6.0
79villemo,Wygrane marzenia,2000,6.0
79villemo,Weronika postanawia umrzeć,2009,6.0
79villemo,Żona astronauty,1999,6.0
79villemo,Trup,2012,7.0
79villemo,Mr. Church,2016,7.0
79villemo,Twój Vincent,2017,8.0
79villemo,Manchester by the Sea,2016,7.0
79villemo,Charlie St. Cloud,2010,6.0
79villemo,Sully,2016,8.0
79villemo,Birdman,2014,8.0
79villemo,Zanim odejdę,2017,7.0
79villemo,Captain Fantastic,2016,8.0
79villemo,Pitbull. Niebezpieczne kobiety,2016,7.0
79villemo,La La Land,2016,7.0
79villemo,Obdarowani,2017,7.0
79villemo,Intruz,2013,6.0
79villemo,Masz talent!,2013,6.0
79villemo,Lion. Droga do domu,2016,7.0
79villemo,Chata,2017,9.0
